_date,total_views,unique_views
2021-05-22,2,2
2021-05-23,4,2
2021-05-24,1,1
2021-05-25,7,6
2021-05-26,6,3
2021-05-27,13,7
2021-05-28,5,4
2021-05-29,15,3
2021-05-30,2,2
2021-05-31,7,6
2021-06-01,11,4
2021-06-02,3,2
2021-06-03,7,6
2021-06-04,2,2
2021-06-05,5,3
2021-06-06,6,4
2021-06-07,39,5
2021-06-08,6,5
2021-06-09,21,7
2021-06-10,17,8
2021-06-11,44,10
2021-06-12,21,9
2021-06-13,10,8
2021-06-14,13,8
2021-06-15,7,7
2021-06-16,2,2
2021-06-17,3,3
2021-06-18,2,2
2021-06-19,12,3
2021-06-20,2,2
2021-06-21,3,3
2021-06-22,7,6
2021-06-23,6,2
2021-06-24,13,6
2021-06-25,3,3
2021-06-26,21,7
2021-06-27,14,4
2021-06-28,2,2
2021-06-29,1,1
2021-06-30,1,1
2021-07-01,2,2
2021-07-02,7,3
2021-07-03,4,1
2021-07-04,2,1
2021-07-05,3,3
2021-07-06,8,6
2021-07-07,1,1
2021-07-08,2,2
2021-07-09,2,2
2021-07-10,5,4
2021-07-11,1,1
2021-07-12,2,2
2021-07-13,9,4
2021-07-14,7,4
2021-07-15,1,1
2021-07-16,1,1
2021-07-17,1,1
2021-07-18,5,3
2021-07-19,2,2
2021-07-20,5,3
2021-07-21,3,3
2021-07-22,3,1
2021-07-23,4,4
2021-07-24,1,1
2021-07-25,2,2
2021-07-26,3,2
2021-07-27,6,3
2021-07-28,3,2
2021-07-30,14,2
2021-07-31,19,3
2021-08-01,7,2
2021-08-02,4,3
2021-08-03,2,2
2021-08-04,6,5
2021-08-05,2,2
2021-08-06,4,4
2021-08-07,5,3
2021-08-08,3,3
2021-08-09,1,1
2021-08-10,4,4
2021-08-11,4,2
2021-08-12,2,1
2021-08-13,4,2
2021-08-14,1,1
2021-08-15,1,1
2021-08-16,17,8
2021-08-17,7,4
2021-08-18,2,2
2021-08-19,15,6
2021-08-20,12,6
2021-08-21,7,3
2021-08-22,15,5
2021-08-23,11,8
2021-08-24,3,3
2021-08-25,2,2
2021-08-26,21,9
2021-08-27,42,2
2021-08-28,9,5
2021-08-29,5,4
2021-08-30,12,3
2021-08-31,15,3
2021-09-01,10,7
2021-09-02,4,1
2021-09-03,6,5
2021-09-04,7,5
2021-09-05,32,5
2021-09-06,4,2
2021-09-07,12,7
2021-09-08,5,4
2021-09-09,5,3
2021-09-10,7,4
2021-09-11,27,8
2021-09-12,7,5
2021-09-13,15,6
2021-09-14,1,1
2021-09-15,2,2
2021-09-16,10,4
2021-09-17,2,2
2021-09-18,9,4
2021-09-19,13,7
2021-09-20,10,7
